"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 08:56:14 GMT 2024","Mon Mar 18 08:56:28 GMT 2024","13883","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Mon Mar 18 08:56:37 GMT 2024","Mon Mar 18 08:56:47 GMT 2024","9591","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Mon Mar 18 08:56:28 GMT 2024","Mon Mar 18 08:56:37 GMT 2024","9534","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Mon Mar 18 08:55:56 GMT 2024","Mon Mar 18 08:56:13 GMT 2024","17298","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Mon Mar 18 08:56:13 GMT 2024","Mon Mar 18 08:56:14 GMT 2024","261","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
