"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 14:46:55 GMT 2023","Tue Aug 22 14:47:05 GMT 2023","10002","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"broken","Tue Aug 22 14:46:12 GMT 2023","Tue Aug 22 14:46:18 GMT 2023","5254","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 14:46:45 GMT 2023","Tue Aug 22 14:46:55 GMT 2023","9989","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"passed","Tue Aug 22 14:46:31 GMT 2023","Tue Aug 22 14:46:45 GMT 2023","14419","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 14:46:18 GMT 2023","Tue Aug 22 14:46:30 GMT 2023","12418","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
