"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 10:02:07 GMT 2023","Tue Aug 22 10:02:20 GMT 2023","12406","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"passed","Tue Aug 22 10:02:20 GMT 2023","Tue Aug 22 10:02:35 GMT 2023","14250","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"broken","Tue Aug 22 10:02:01 GMT 2023","Tue Aug 22 10:02:07 GMT 2023","6323","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 10:02:35 GMT 2023","Tue Aug 22 10:02:44 GMT 2023","9806","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 10:02:44 GMT 2023","Tue Aug 22 10:02:54 GMT 2023","9803","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
