"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 21 21:28:54 GMT 2023","Mon Aug 21 21:29:04 GMT 2023","9937","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"broken","Mon Aug 21 21:28:11 GMT 2023","Mon Aug 21 21:28:16 GMT 2023","5071","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"passed","Mon Aug 21 21:28:29 GMT 2023","Mon Aug 21 21:28:44 GMT 2023","14420","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Mon Aug 21 21:28:44 GMT 2023","Mon Aug 21 21:28:54 GMT 2023","9923","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Mon Aug 21 21:28:16 GMT 2023","Mon Aug 21 21:28:29 GMT 2023","12338","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
