"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 21 21:25:02 GMT 2023","Mon Aug 21 21:25:12 GMT 2023","9998","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Mon Aug 21 21:24:52 GMT 2023","Mon Aug 21 21:25:02 GMT 2023","9968","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"passed","Mon Aug 21 21:24:37 GMT 2023","Mon Aug 21 21:24:52 GMT 2023","14429","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"broken","Mon Aug 21 21:24:19 GMT 2023","Mon Aug 21 21:24:24 GMT 2023","5146","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Mon Aug 21 21:24:24 GMT 2023","Mon Aug 21 21:24:36 GMT 2023","12413","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
