"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 22 11:43:04 GMT 2023","Tue Aug 22 11:43:18 GMT 2023","14574","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 11:43:28 GMT 2023","Tue Aug 22 11:43:38 GMT 2023","9987","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"passed","Tue Aug 22 11:42:51 GMT 2023","Tue Aug 22 11:43:03 GMT 2023","12234","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"failed","Tue Aug 22 11:43:18 GMT 2023","Tue Aug 22 11:43:28 GMT 2023","9990","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 11:42:33 GMT 2023","Tue Aug 22 11:42:51 GMT 2023","17608","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
