"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 22 19:27:32 GMT 2023","Tue Aug 22 19:27:37 GMT 2023","5199","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 19:28:05 GMT 2023","Tue Aug 22 19:28:14 GMT 2023","9966","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"passed","Tue Aug 22 19:27:50 GMT 2023","Tue Aug 22 19:28:05 GMT 2023","14471","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 19:28:14 GMT 2023","Tue Aug 22 19:28:24 GMT 2023","10007","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Tue Aug 22 19:27:37 GMT 2023","Tue Aug 22 19:27:49 GMT 2023","12414","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
