"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 18 09:15:24 GMT 2024","Mon Mar 18 09:15:41 GMT 2024","17599","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Mon Mar 18 09:15:41 GMT 2024","Mon Mar 18 09:15:42 GMT 2024","271","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"passed","Mon Mar 18 09:15:42 GMT 2024","Mon Mar 18 09:15:56 GMT 2024","14298","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Mon Mar 18 09:16:06 GMT 2024","Mon Mar 18 09:16:15 GMT 2024","9559","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Mon Mar 18 09:15:56 GMT 2024","Mon Mar 18 09:16:06 GMT 2024","9573","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
