"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 21 21:00:06 GMT 2023","Mon Aug 21 21:00:20 GMT 2023","14197","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Mon Aug 21 21:00:04 GMT 2023","Mon Aug 21 21:00:05 GMT 2023","383","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"broken","Mon Aug 21 20:59:59 GMT 2023","Mon Aug 21 21:00:04 GMT 2023","5054","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Mon Aug 21 21:00:20 GMT 2023","Mon Aug 21 21:00:30 GMT 2023","9742","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Mon Aug 21 21:00:30 GMT 2023","Mon Aug 21 21:00:39 GMT 2023","9739","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
