"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 19:41:46 GMT 2023","Tue Aug 22 19:42:03 GMT 2023","16673","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 19:42:28 GMT 2023","Tue Aug 22 19:42:38 GMT 2023","9723","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Tue Aug 22 19:42:18 GMT 2023","Tue Aug 22 19:42:28 GMT 2023","9712","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"passed","Tue Aug 22 19:42:04 GMT 2023","Tue Aug 22 19:42:18 GMT 2023","14283","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 19:42:03 GMT 2023","Tue Aug 22 19:42:03 GMT 2023","371","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
