"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 21 21:06:54 GMT 2023","Mon Aug 21 21:07:04 GMT 2023","9997","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"passed","Mon Aug 21 21:06:40 GMT 2023","Mon Aug 21 21:06:54 GMT 2023","14371","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Mon Aug 21 21:06:39 GMT 2023","Mon Aug 21 21:06:39 GMT 2023","471","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"broken","Mon Aug 21 21:06:33 GMT 2023","Mon Aug 21 21:06:39 GMT 2023","5442","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Mon Aug 21 21:07:04 GMT 2023","Mon Aug 21 21:07:14 GMT 2023","9973","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
