"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 14:24:11 GMT 2023","Tue Aug 22 14:24:24 GMT 2023","12297","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"broken","Tue Aug 22 14:24:06 GMT 2023","Tue Aug 22 14:24:11 GMT 2023","5149","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 14:24:49 GMT 2023","Tue Aug 22 14:24:59 GMT 2023","9911","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Tue Aug 22 14:24:39 GMT 2023","Tue Aug 22 14:24:49 GMT 2023","9933","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"passed","Tue Aug 22 14:24:24 GMT 2023","Tue Aug 22 14:24:39 GMT 2023","14384","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
