"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 10:27:47 GMT 2023","Tue Aug 22 10:28:04 GMT 2023","16827","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 10:28:20 GMT 2023","Tue Aug 22 10:28:30 GMT 2023","9765","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 10:28:04 GMT 2023","Tue Aug 22 10:28:05 GMT 2023","390","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"failed","Tue Aug 22 10:28:30 GMT 2023","Tue Aug 22 10:28:39 GMT 2023","9789","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"passed","Tue Aug 22 10:28:05 GMT 2023","Tue Aug 22 10:28:20 GMT 2023","14364","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
