"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 22 15:04:01 GMT 2023","Tue Aug 22 15:04:13 GMT 2023","12012","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"passed","Tue Aug 22 15:03:43 GMT 2023","Tue Aug 22 15:04:01 GMT 2023","17656","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 15:04:28 GMT 2023","Tue Aug 22 15:04:38 GMT 2023","9724","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 15:04:38 GMT 2023","Tue Aug 22 15:04:47 GMT 2023","9713","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"passed","Tue Aug 22 15:04:14 GMT 2023","Tue Aug 22 15:04:28 GMT 2023","14203","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
