"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 09:13:06 GMT 2024","Mon Mar 18 09:13:20 GMT 2024","13988","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Mon Mar 18 09:13:29 GMT 2024","Mon Mar 18 09:13:39 GMT 2024","9558","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Mon Mar 18 09:13:20 GMT 2024","Mon Mar 18 09:13:29 GMT 2024","9564","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Mon Mar 18 09:12:54 GMT 2024","Mon Mar 18 09:13:05 GMT 2024","11775","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"failed","Mon Mar 18 09:12:37 GMT 2024","Mon Mar 18 09:12:53 GMT 2024","16333","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
