"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 14:56:27 GMT 2023","Tue Aug 22 14:56:37 GMT 2023","9760","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"passed","Tue Aug 22 14:56:03 GMT 2023","Tue Aug 22 14:56:17 GMT 2023","14254","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 14:56:17 GMT 2023","Tue Aug 22 14:56:27 GMT 2023","9758","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 14:55:50 GMT 2023","Tue Aug 22 14:56:02 GMT 2023","12059","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"failed","Tue Aug 22 14:55:34 GMT 2023","Tue Aug 22 14:55:50 GMT 2023","16708","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
