"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 22 18:08:01 GMT 2023","Tue Aug 22 18:08:16 GMT 2023","14718","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 18:08:16 GMT 2023","Tue Aug 22 18:08:26 GMT 2023","10145","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"broken","Tue Aug 22 18:07:54 GMT 2023","Tue Aug 22 18:08:00 GMT 2023","5374","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 18:08:26 GMT 2023","Tue Aug 22 18:08:36 GMT 2023","10184","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Tue Aug 22 18:08:00 GMT 2023","Tue Aug 22 18:08:00 GMT 2023","619","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
