"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 11:29:03 GMT 2024","Sat Mar 23 11:29:17 GMT 2024","14181","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Sat Mar 23 11:29:17 GMT 2024","Sat Mar 23 11:29:26 GMT 2024","9557","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Sat Mar 23 11:29:26 GMT 2024","Sat Mar 23 11:29:36 GMT 2024","9560","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Sat Mar 23 11:28:51 GMT 2024","Sat Mar 23 11:29:02 GMT 2024","11768","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"passed","Sat Mar 23 11:28:33 GMT 2024","Sat Mar 23 11:28:51 GMT 2024","17469","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
