"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 18 09:07:51 GMT 2024","Mon Mar 18 09:07:57 GMT 2024","6691","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"passed","Mon Mar 18 09:07:58 GMT 2024","Mon Mar 18 09:08:12 GMT 2024","13917","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Mon Mar 18 09:08:22 GMT 2024","Mon Mar 18 09:08:31 GMT 2024","9632","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Mon Mar 18 09:08:12 GMT 2024","Mon Mar 18 09:08:22 GMT 2024","9614","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Mon Mar 18 09:07:58 GMT 2024","Mon Mar 18 09:07:58 GMT 2024","295","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
