"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 09:51:09 GMT 2023","Tue Aug 22 09:51:26 GMT 2023","16968","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"passed","Tue Aug 22 09:51:28 GMT 2023","Tue Aug 22 09:51:42 GMT 2023","14597","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 09:51:42 GMT 2023","Tue Aug 22 09:51:52 GMT 2023","9928","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 09:51:52 GMT 2023","Tue Aug 22 09:52:02 GMT 2023","9894","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Tue Aug 22 09:51:26 GMT 2023","Tue Aug 22 09:51:27 GMT 2023","478","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
