"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 20:13:34 GMT 2023","Tue Aug 22 20:13:46 GMT 2023","12629","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"passed","Tue Aug 22 20:13:14 GMT 2023","Tue Aug 22 20:13:34 GMT 2023","19535","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 20:14:12 GMT 2023","Tue Aug 22 20:14:22 GMT 2023","9894","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Tue Aug 22 20:14:02 GMT 2023","Tue Aug 22 20:14:12 GMT 2023","9976","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"passed","Tue Aug 22 20:13:47 GMT 2023","Tue Aug 22 20:14:02 GMT 2023","14497","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
