"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 08:40:36 GMT 2023","Tue Aug 22 08:40:54 GMT 2023","17845","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"passed","Tue Aug 22 08:41:07 GMT 2023","Tue Aug 22 08:41:21 GMT 2023","14303","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"passed","Tue Aug 22 08:40:54 GMT 2023","Tue Aug 22 08:41:06 GMT 2023","11972","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"failed","Tue Aug 22 08:41:21 GMT 2023","Tue Aug 22 08:41:31 GMT 2023","9789","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 08:41:31 GMT 2023","Tue Aug 22 08:41:40 GMT 2023","9797","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
