"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 12:16:43 GMT 2023","Tue Aug 22 12:16:53 GMT 2023","10100","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Tue Aug 22 12:16:17 GMT 2023","Tue Aug 22 12:16:17 GMT 2023","622","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"passed","Tue Aug 22 12:16:18 GMT 2023","Tue Aug 22 12:16:33 GMT 2023","14856","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"broken","Tue Aug 22 12:16:10 GMT 2023","Tue Aug 22 12:16:17 GMT 2023","6502","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 12:16:33 GMT 2023","Tue Aug 22 12:16:43 GMT 2023","10167","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
