"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 21 21:24:35 GMT 2023","Mon Aug 21 21:24:42 GMT 2023","6592","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Mon Aug 21 21:24:58 GMT 2023","Mon Aug 21 21:25:08 GMT 2023","10138","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Mon Aug 21 21:25:08 GMT 2023","Mon Aug 21 21:25:18 GMT 2023","10161","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Mon Aug 21 21:24:42 GMT 2023","Mon Aug 21 21:24:42 GMT 2023","686","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"passed","Mon Aug 21 21:24:43 GMT 2023","Mon Aug 21 21:24:58 GMT 2023","14595","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
