"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 19:32:34 GMT 2023","Tue Aug 22 19:32:47 GMT 2023","12479","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"failed","Tue Aug 22 19:33:02 GMT 2023","Tue Aug 22 19:33:12 GMT 2023","10005","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"broken","Tue Aug 22 19:32:29 GMT 2023","Tue Aug 22 19:32:34 GMT 2023","5200","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 19:33:12 GMT 2023","Tue Aug 22 19:33:22 GMT 2023","10024","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"passed","Tue Aug 22 19:32:48 GMT 2023","Tue Aug 22 19:33:02 GMT 2023","14399","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
