"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 08:09:27 GMT 2024","Mon Mar 18 08:09:41 GMT 2024","13970","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Mon Mar 18 08:08:59 GMT 2024","Mon Mar 18 08:09:15 GMT 2024","16388","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Mon Mar 18 08:09:51 GMT 2024","Mon Mar 18 08:10:00 GMT 2024","9559","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"failed","Mon Mar 18 08:09:15 GMT 2024","Mon Mar 18 08:09:27 GMT 2024","11761","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"failed","Mon Mar 18 08:09:41 GMT 2024","Mon Mar 18 08:09:51 GMT 2024","9546","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
