"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 22 18:17:08 GMT 2023","Tue Aug 22 18:17:20 GMT 2023","12064","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"passed","Tue Aug 22 18:17:20 GMT 2023","Tue Aug 22 18:17:35 GMT 2023","14310","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 18:17:35 GMT 2023","Tue Aug 22 18:17:44 GMT 2023","9728","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 18:16:51 GMT 2023","Tue Aug 22 18:17:07 GMT 2023","16697","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
"failed","Tue Aug 22 18:17:44 GMT 2023","Tue Aug 22 18:17:54 GMT 2023","9737","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
