"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 22 09:18:51 GMT 2023","Tue Aug 22 09:19:05 GMT 2023","14397","test","test_create_custuner","TestCreateCostuner","","","Create new user in data base",""
"failed","Tue Aug 22 09:19:05 GMT 2023","Tue Aug 22 09:19:15 GMT 2023","9999","test","test_create_custuner","TestCreateCostuner","","","Search new user in data base",""
"failed","Tue Aug 22 09:18:50 GMT 2023","Tue Aug 22 09:18:50 GMT 2023","519","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for random user",""
"failed","Tue Aug 22 09:19:15 GMT 2023","Tue Aug 22 09:19:25 GMT 2023","9941","test","test_create_custuner","TestCreateCostuner","","","Delete new user in data base",""
"broken","Tue Aug 22 09:18:44 GMT 2023","Tue Aug 22 09:18:50 GMT 2023","5947","test","test_costumer_login","TestCostumerLogin","","","Bank account transfer for native user",""
